 ,Area,IntDen,Median,RawIntDen
1,2,1699.000,891,1699.000
2,12,11813.000,1009,11813.000
3,9,12208.000,1565,12208.000
4,9,9925.000,994,9925.000
5,11,13149.000,1136,13149.000
6,12,14845.000,1264,14845.000
7,13,15038.000,1145,15038.000
8,8,9450.000,1111,9450.000
9,10,11205.000,1113,11205.000
10,3,2556.000,869,2556.000
11,8,10490.000,1405,10490.000
12,7,7616.000,1132,7616.000
13,10,12156.000,1186,12156.000
14,4,4083.000,1116,4083.000
15,4,4022.000,1076,4022.000
16,6,5821.000,1000,5821.000
17,4,3871.000,976,3871.000
18,10,12480.000,1209,12480.000
19,7,7962.000,1130,7962.000
20,13,13573.000,979,13573.000
21,7,8995.000,1382,8995.000
22,10,10939.000,1139,10939.000
23,10,12919.000,1365,12919.000
24,8,8644.000,978,8644.000
25,7,7855.000,1069,7855.000
26,16,20941.000,1452,20941.000
27,4,4524.000,1335,4524.000
28,8,8311.000,947,8311.000
29,5,4761.000,908,4761.000
30,14,17272.000,1246,17272.000
31,17,19239.000,1071,19239.000
32,5,4774.000,965,4774.000
33,18,22537.000,1278,22537.000
34,12,15888.000,1522,15888.000
35,7,7743.000,1011,7743.000
36,15,16460.000,1021,16460.000
37,2,2911.000,1553,2911.000
38,5,5379.000,963,5379.000
39,8,7997.000,936,7997.000
40,6,7148.000,1068,7148.000
41,12,14759.000,1371,14759.000
42,9,8971.000,897,8971.000
43,10,10915.000,1122,10915.000
44,8,7762.000,975,7762.000
45,8,8845.000,1139,8845.000
46,5,4247.000,841,4247.000
47,9,9256.000,1030,9256.000
48,13,17572.000,1346,17572.000
49,10,11945.000,1158,11945.000
50,5,5010.000,938,5010.000
51,5,4795.000,952,4795.000
52,6,8318.000,1598,8318.000
53,12,14658.000,1262,14658.000
54,8,9977.000,1476,9977.000
55,12,12081.000,1020,12081.000
56,17,21742.000,1206,21742.000
57,9,11234.000,1302,11234.000
58,20,26507.000,1278,26507.000
59,15,14529.000,983,14529.000
60,10,12363.000,1205,12363.000
61,13,15042.000,1159,15042.000
62,6,5680.000,889,5680.000
63,14,16995.000,1293,16995.000
64,6,6717.000,1251,6717.000
65,13,16149.000,1161,16149.000
66,11,12779.000,1175,12779.000
67,11,13089.000,1107,13089.000
68,8,10315.000,1315,10315.000
69,2,1983.000,1051,1983.000
70,12,13754.000,984,13754.000
71,10,11579.000,1288,11579.000
72,10,12970.000,1265,12970.000
73,11,12344.000,1067,12344.000
74,7,9316.000,1422,9316.000
75,9,10830.000,1008,10830.000
76,10,11888.000,1135,11888.000
77,7,8295.000,1128,8295.000
78,8,9585.000,1251,9585.000
79,6,7699.000,1430,7699.000
80,9,10515.000,928,10515.000
81,20,25829.000,1392,25829.000
82,4,3833.000,954,3833.000
83,2,2407.000,1297,2407.000
84,6,7819.000,1446,7819.000
85,5,5319.000,1062,5319.000
86,10,11501.000,1104,11501.000
87,11,13520.000,1170,13520.000
88,14,17223.000,1055,17223.000
89,11,15044.000,1410,15044.000
90,8,9260.000,1357,9260.000
91,6,6683.000,1022,6683.000
92,8,10274.000,1209,10274.000
93,11,12012.000,1091,12012.000
94,23,31786.000,1471,31786.000
95,7,6941.000,994,6941.000
96,9,11340.000,1231,11340.000
97,8,8597.000,1210,8597.000
98,9,9428.000,918,9428.000
99,11,14900.000,1228,14900.000
100,7,9317.000,1468,9317.000
101,11,14219.000,1182,14219.000
102,11,14003.000,1221,14003.000
103,8,9403.000,1116,9403.000
104,16,21277.000,1308,21277.000
105,6,6682.000,1180,6682.000
106,8,9728.000,1281,9728.000
107,5,5756.000,1152,5756.000
108,9,10781.000,1160,10781.000
109,7,9587.000,1432,9587.000
110,4,3764.000,928,3764.000
111,5,6017.000,1258,6017.000
112,6,6375.000,1038,6375.000
113,2,2248.000,1345,2248.000
114,2,1807.000,996,1807.000
115,26,32253.000,1092,32253.000
116,15,17323.000,1043,17323.000
117,4,4340.000,1077,4340.000
118,6,6832.000,1109,6832.000
119,6,7424.000,1323,7424.000
120,4,4231.000,1070,4231.000
121,14,18364.000,1464,18364.000
122,9,11525.000,1220,11525.000
123,4,4282.000,1046,4282.000
124,7,8346.000,1115,8346.000
125,8,9044.000,1217,9044.000
126,8,9181.000,1022,9181.000
127,7,7935.000,1089,7935.000
128,5,4184.000,833,4184.000
129,6,6027.000,911,6027.000
130,29,38393.000,1305,38393.000
131,8,11166.000,1641,11166.000
132,9,9505.000,1050,9505.000
133,11,13786.000,1180,13786.000
134,7,9623.000,1400,9623.000
135,17,21664.000,1240,21664.000
136,5,5276.000,1067,5276.000
137,14,16328.000,1169,16328.000
138,12,12749.000,963,12749.000
139,9,9216.000,995,9216.000
140,11,11593.000,1064,11593.000
141,6,8439.000,1416,8439.000
142,14,17535.000,1251,17535.000
143,18,24345.000,1425,24345.000
144,8,9657.000,1328,9657.000
145,7,6840.000,932,6840.000
146,7,7060.000,1066,7060.000
147,17,15899.000,957,15899.000
148,7,7996.000,1162,7996.000
149,12,11844.000,1009,11844.000
150,13,18902.000,1680,18902.000
151,8,8093.000,1031,8093.000
152,7,7689.000,955,7689.000
153,24,31421.000,1397,31421.000
154,10,13444.000,1515,13444.000
155,10,11743.000,1114,11743.000
156,20,22832.000,1068,22832.000
157,10,12754.000,1356,12754.000
158,8,10374.000,1382,10374.000
159,7,8523.000,1122,8523.000
160,13,14449.000,1059,14449.000
161,18,23523.000,1339,23523.000
162,7,7894.000,969,7894.000
163,8,10192.000,1241,10192.000
164,9,12664.000,1598,12664.000
165,7,9072.000,1229,9072.000
166,5,5847.000,1151,5847.000
167,7,6659.000,957,6659.000
168,15,19666.000,1239,19666.000
169,9,10477.000,1097,10477.000
170,9,10533.000,1134,10533.000
171,3,3116.000,1043,3116.000
172,9,10158.000,1033,10158.000
173,8,9886.000,1258,9886.000
174,5,5852.000,1242,5852.000
175,2,1901.000,1018,1901.000
176,23,28265.000,1214,28265.000
177,11,14925.000,1380,14925.000
178,6,7347.000,1245,7347.000
179,11,14077.000,1330,14077.000
180,3,3297.000,1006,3297.000
181,2,1848.000,982,1848.000
182,8,7235.000,913,7235.000
183,14,17223.000,1228,17223.000
184,10,10290.000,955,10290.000
185,7,8791.000,1479,8791.000
186,5,6449.000,1289,6449.000
187,11,11567.000,1044,11567.000
188,15,20132.000,1615,20132.000
189,16,19378.000,1196,19378.000
190,6,8011.000,1379,8011.000
191,9,9408.000,1043,9408.000
192,7,9181.000,1321,9181.000
193,10,12493.000,1241,12493.000
194,14,15463.000,1081,15463.000
195,11,11696.000,1073,11696.000
196,11,13614.000,1290,13614.000
197,10,12720.000,1165,12720.000
198,13,17558.000,1341,17558.000
199,5,5380.000,1021,5380.000
200,10,12041.000,1165,12041.000
201,11,13756.000,1128,13756.000
202,6,5194.000,876,5194.000
203,9,11516.000,1257,11516.000
204,12,15737.000,1478,15737.000
205,5,6793.000,1346,6793.000
206,8,8905.000,1163,8905.000
207,8,11114.000,1455,11114.000
208,12,14795.000,1235,14795.000
209,15,17262.000,1157,17262.000
210,9,11697.000,1270,11697.000
211,7,9072.000,1407,9072.000
212,8,10510.000,1267,10510.000
213,7,7714.000,1100,7714.000
214,14,15236.000,1101,15236.000
215,6,6005.000,954,6005.000
216,14,17659.000,1461,17659.000
217,10,13641.000,1386,13641.000
218,10,12165.000,1219,12165.000
219,6,7238.000,1296,7238.000
220,7,8357.000,1106,8357.000
221,5,6363.000,1177,6363.000
222,8,11497.000,1598,11497.000
223,7,8966.000,1246,8966.000
224,3,2782.000,873,2782.000
225,9,11694.000,1284,11694.000
226,3,3453.000,1115,3453.000
227,5,5660.000,1092,5660.000
228,9,9915.000,1014,9915.000
229,16,20413.000,1303,20413.000
230,7,8554.000,1192,8554.000
231,9,10593.000,1123,10593.000
232,9,9511.000,1040,9511.000
233,2,1694.000,872,1694.000
234,9,11714.000,1404,11714.000
235,5,5795.000,1128,5795.000
236,10,12041.000,1146,12041.000
237,12,15252.000,1216,15252.000
238,8,8690.000,1015,8690.000
239,17,21140.000,1140,21140.000
240,9,10182.000,983,10182.000
241,7,8855.000,1379,8855.000
242,13,15145.000,1023,15145.000
243,12,11392.000,962,11392.000
244,10,11551.000,1053,11551.000
245,13,16075.000,1325,16075.000
246,11,13169.000,1112,13169.000
247,8,10581.000,1372,10581.000
248,8,8313.000,909,8313.000
249,10,12007.000,1303,12007.000
250,12,16181.000,1548,16181.000
251,9,10479.000,1086,10479.000
252,5,6353.000,1344,6353.000
253,10,12323.000,1294,12323.000
254,3,2516.000,840,2516.000
255,14,18128.000,1393,18128.000
256,3,3808.000,1315,3808.000
257,5,5923.000,1309,5923.000
258,6,8285.000,1447,8285.000
259,10,11256.000,1040,11256.000
260,4,4213.000,1032,4213.000
261,2,1981.000,1115,1981.000
262,10,10893.000,1017,10893.000
263,6,7962.000,1421,7962.000
264,2,1801.000,958,1801.000
265,15,18184.000,1108,18184.000
266,8,8351.000,1001,8351.000
267,11,13462.000,1209,13462.000
268,15,16345.000,1048,16345.000
269,8,9163.000,1192,9163.000
270,12,15252.000,1335,15252.000
271,7,9448.000,1417,9448.000
272,7,8425.000,1097,8425.000
273,10,10854.000,1104,10854.000
274,8,9679.000,1208,9679.000
275,8,10049.000,1326,10049.000
276,8,9002.000,1146,9002.000
277,5,5723.000,1172,5723.000
278,10,12808.000,1507,12808.000
279,5,6586.000,1424,6586.000
280,6,7781.000,1524,7781.000
281,6,6909.000,1107,6909.000
282,7,7989.000,1050,7989.000
283,8,10213.000,1483,10213.000
284,6,7172.000,1470,7172.000
285,9,11862.000,1327,11862.000
286,4,3998.000,1028,3998.000
287,6,7371.000,1332,7371.000
288,9,10657.000,994,10657.000
289,3,2808.000,869,2808.000
290,11,13899.000,1106,13899.000
291,8,9914.000,1345,9914.000
292,9,11306.000,1276,11306.000
293,15,18864.000,1227,18864.000
294,7,9079.000,1338,9079.000
295,9,12389.000,1524,12389.000
296,8,9145.000,1171,9145.000
297,7,8491.000,1202,8491.000
298,7,8253.000,1136,8253.000
299,6,5702.000,925,5702.000
300,6,7201.000,1300,7201.000
301,6,6685.000,1017,6685.000
302,8,9520.000,1171,9520.000
303,13,17787.000,1283,17787.000
304,2,2142.000,1113,2142.000
305,4,5052.000,1283,5052.000
306,4,5240.000,1425,5240.000
307,7,7916.000,1078,7916.000
308,10,12276.000,1274,12276.000
309,10,12028.000,1253,12028.000
310,10,11937.000,1188,11937.000
311,5,4642.000,902,4642.000
312,2,1675.000,862,1675.000
313,7,8909.000,1328,8909.000
314,9,11168.000,1138,11168.000
315,13,14886.000,1210,14886.000
316,8,8716.000,1089,8716.000
317,2,1674.000,843,1674.000
318,11,11745.000,920,11745.000
319,3,2766.000,959,2766.000
320,9,11420.000,1245,11420.000
321,12,13354.000,1072,13354.000
322,4,4640.000,1021,4640.000
323,9,11438.000,1345,11438.000
324,9,9973.000,967,9973.000
325,4,4213.000,1079,4213.000
